course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g4-mathematics,13,5,Friday,65,4,11,ma-g4-mathematics-u04-l11
ma-g4-mathematics,14,1,Monday,66,4,12,ma-g4-mathematics-u04-l12
ma-g4-mathematics,14,2,Tuesday,67,4,13,ma-g4-mathematics-u04-l13
ma-g4-mathematics,14,3,Wednesday,68,4,14,ma-g4-mathematics-u04-l14
ma-g4-mathematics,14,4,Thursday,69,4,15,ma-g4-mathematics-u04-l15
ma-g4-mathematics,14,5,Friday,70,4,16,ma-g4-mathematics-u04-l16
ma-g4-mathematics,15,1,Monday,71,4,17,ma-g4-mathematics-u04-l17
ma-g4-mathematics,15,2,Tuesday,72,4,18,ma-g4-mathematics-u04-l18
ma-g4-mathematics,15,3,Wednesday,73,5,1,ma-g4-mathematics-u05-l01
ma-g4-mathematics,15,4,Thursday,74,5,2,ma-g4-mathematics-u05-l02
ma-g4-mathematics,15,5,Friday,75,5,3,ma-g4-mathematics-u05-l03
ma-g4-mathematics,16,1,Monday,76,5,4,ma-g4-mathematics-u05-l04
ma-g4-mathematics,16,2,Tuesday,77,5,5,ma-g4-mathematics-u05-l05
ma-g4-mathematics,16,3,Wednesday,78,5,6,ma-g4-mathematics-u05-l06
ma-g4-mathematics,16,4,Thursday,79,5,7,ma-g4-mathematics-u05-l07
ma-g4-mathematics,16,5,Friday,80,5,8,ma-g4-mathematics-u05-l08
ma-g4-mathematics,17,1,Monday,81,5,9,ma-g4-mathematics-u05-l09
ma-g4-mathematics,17,2,Tuesday,82,5,10,ma-g4-mathematics-u05-l10
ma-g4-mathematics,17,3,Wednesday,83,5,11,ma-g4-mathematics-u05-l11
ma-g4-mathematics,17,4,Thursday,84,5,12,ma-g4-mathematics-u05-l12
ma-g4-mathematics,17,5,Friday,85,5,13,ma-g4-mathematics-u05-l13
ma-g4-mathematics,18,1,Monday,86,5,14,ma-g4-mathematics-u05-l14
ma-g4-mathematics,18,2,Tuesday,87,5,15,ma-g4-mathematics-u05-l15
ma-g4-mathematics,18,3,Wednesday,88,5,16,ma-g4-mathematics-u05-l16
ma-g4-mathematics,18,4,Thursday,89,5,17,ma-g4-mathematics-u05-l17
ma-g4-mathematics,18,5,Friday,90,5,18,ma-g4-mathematics-u05-l18
ma-g4-mathematics,19,1,Monday,91,6,1,ma-g4-mathematics-u06-l01
ma-g4-mathematics,19,2,Tuesday,92,6,2,ma-g4-mathematics-u06-l02
ma-g4-mathematics,19,3,Wednesday,93,6,3,ma-g4-mathematics-u06-l03
ma-g4-mathematics,19,4,Thursday,94,6,4,ma-g4-mathematics-u06-l04
ma-g4-mathematics,19,5,Friday,95,6,5,ma-g4-mathematics-u06-l05
ma-g4-mathematics,20,1,Monday,96,6,6,ma-g4-mathematics-u06-l06
ma-g4-mathematics,20,2,Tuesday,97,6,7,ma-g4-mathematics-u06-l07
ma-g4-mathematics,20,3,Wednesday,98,6,8,ma-g4-mathematics-u06-l08
ma-g4-mathematics,20,4,Thursday,99,6,9,ma-g4-mathematics-u06-l09
ma-g4-mathematics,20,5,Friday,100,6,10,ma-g4-mathematics-u06-l10
ma-g4-mathematics,21,1,Monday,101,6,11,ma-g4-mathematics-u06-l11
ma-g4-mathematics,21,2,Tuesday,102,6,12,ma-g4-mathematics-u06-l12
ma-g4-mathematics,21,3,Wednesday,103,6,13,ma-g4-mathematics-u06-l13
ma-g4-mathematics,21,4,Thursday,104,6,14,ma-g4-mathematics-u06-l14
ma-g4-mathematics,21,5,Friday,105,6,15,ma-g4-mathematics-u06-l15
ma-g4-mathematics,22,1,Monday,106,6,16,ma-g4-mathematics-u06-l16
ma-g4-mathematics,22,2,Tuesday,107,6,17,ma-g4-mathematics-u06-l17
ma-g4-mathematics,22,3,Wednesday,108,6,18,ma-g4-mathematics-u06-l18
ma-g4-mathematics,22,4,Thursday,109,7,1,ma-g4-mathematics-u07-l01
ma-g4-mathematics,22,5,Friday,110,7,2,ma-g4-mathematics-u07-l02
ma-g4-mathematics,23,1,Monday,111,7,3,ma-g4-mathematics-u07-l03
ma-g4-mathematics,23,2,Tuesday,112,7,4,ma-g4-mathematics-u07-l04
ma-g4-mathematics,23,3,Wednesday,113,7,5,ma-g4-mathematics-u07-l05
ma-g4-mathematics,23,4,Thursday,114,7,6,ma-g4-mathematics-u07-l06
ma-g4-mathematics,23,5,Friday,115,7,7,ma-g4-mathematics-u07-l07
ma-g4-mathematics,24,1,Monday,116,7,8,ma-g4-mathematics-u07-l08
ma-g4-mathematics,24,2,Tuesday,117,7,9,ma-g4-mathematics-u07-l09
ma-g4-mathematics,24,3,Wednesday,118,7,10,ma-g4-mathematics-u07-l10
ma-g4-mathematics,24,4,Thursday,119,7,11,ma-g4-mathematics-u07-l11
ma-g4-mathematics,24,5,Friday,120,7,12,ma-g4-mathematics-u07-l12
ma-g4-mathematics,25,1,Monday,121,7,13,ma-g4-mathematics-u07-l13
ma-g4-mathematics,25,2,Tuesday,122,7,14,ma-g4-mathematics-u07-l14
ma-g4-mathematics,25,3,Wednesday,123,7,15,ma-g4-mathematics-u07-l15
ma-g4-mathematics,25,4,Thursday,124,7,16,ma-g4-mathematics-u07-l16
ma-g4-mathematics,25,5,Friday,125,7,17,ma-g4-mathematics-u07-l17
ma-g4-mathematics,26,1,Monday,126,7,18,ma-g4-mathematics-u07-l18
ma-g4-mathematics,26,2,Tuesday,127,8,1,ma-g4-mathematics-u08-l01
ma-g4-mathematics,26,3,Wednesday,128,8,2,ma-g4-mathematics-u08-l02
ma-g4-mathematics,26,4,Thursday,129,8,3,ma-g4-mathematics-u08-l03
ma-g4-mathematics,26,5,Friday,130,8,4,ma-g4-mathematics-u08-l04
ma-g4-mathematics,27,1,Monday,131,8,5,ma-g4-mathematics-u08-l05
ma-g4-mathematics,27,2,Tuesday,132,8,6,ma-g4-mathematics-u08-l06
ma-g4-mathematics,27,3,Wednesday,133,8,7,ma-g4-mathematics-u08-l07
ma-g4-mathematics,27,4,Thursday,134,8,8,ma-g4-mathematics-u08-l08
ma-g4-mathematics,27,5,Friday,135,8,9,ma-g4-mathematics-u08-l09
ma-g4-mathematics,28,1,Monday,136,8,10,ma-g4-mathematics-u08-l10
ma-g4-mathematics,28,2,Tuesday,137,8,11,ma-g4-mathematics-u08-l11
ma-g4-mathematics,28,3,Wednesday,138,8,12,ma-g4-mathematics-u08-l12
ma-g4-mathematics,28,4,Thursday,139,8,13,ma-g4-mathematics-u08-l13
ma-g4-mathematics,28,5,Friday,140,8,14,ma-g4-mathematics-u08-l14
ma-g4-mathematics,29,1,Monday,141,8,15,ma-g4-mathematics-u08-l15
ma-g4-mathematics,29,2,Tuesday,142,8,16,ma-g4-mathematics-u08-l16
ma-g4-mathematics,29,3,Wednesday,143,8,17,ma-g4-mathematics-u08-l17
ma-g4-mathematics,29,4,Thursday,144,8,18,ma-g4-mathematics-u08-l18
ma-g4-mathematics,29,5,Friday,145,9,1,ma-g4-mathematics-u09-l01
ma-g4-mathematics,30,1,Monday,146,9,2,ma-g4-mathematics-u09-l02
ma-g4-mathematics,30,2,Tuesday,147,9,3,ma-g4-mathematics-u09-l03
ma-g4-mathematics,30,3,Wednesday,148,9,4,ma-g4-mathematics-u09-l04
ma-g4-mathematics,30,4,Thursday,149,9,5,ma-g4-mathematics-u09-l05
ma-g4-mathematics,30,5,Friday,150,9,6,ma-g4-mathematics-u09-l06
ma-g4-mathematics,31,1,Monday,151,9,7,ma-g4-mathematics-u09-l07
ma-g4-mathematics,31,2,Tuesday,152,9,8,ma-g4-mathematics-u09-l08
ma-g4-mathematics,31,3,Wednesday,153,9,9,ma-g4-mathematics-u09-l09
ma-g4-mathematics,31,4,Thursday,154,9,10,ma-g4-mathematics-u09-l10
ma-g4-mathematics,31,5,Friday,155,9,11,ma-g4-mathematics-u09-l11
ma-g4-mathematics,32,1,Monday,156,9,12,ma-g4-mathematics-u09-l12
ma-g4-mathematics,32,2,Tuesday,157,9,13,ma-g4-mathematics-u09-l13
ma-g4-mathematics,32,3,Wednesday,158,9,14,ma-g4-mathematics-u09-l14
ma-g4-mathematics,32,4,Thursday,159,9,15,ma-g4-mathematics-u09-l15
ma-g4-mathematics,32,5,Friday,160,9,16,ma-g4-mathematics-u09-l16
ma-g4-mathematics,33,1,Monday,161,9,17,ma-g4-mathematics-u09-l17
ma-g4-mathematics,33,2,Tuesday,162,9,18,ma-g4-mathematics-u09-l18
ma-g4-mathematics,33,3,Wednesday,163,10,1,ma-g4-mathematics-u10-l01
ma-g4-mathematics,33,4,Thursday,164,10,2,ma-g4-mathematics-u10-l02
ma-g4-mathematics,33,5,Friday,165,10,3,ma-g4-mathematics-u10-l03
ma-g4-mathematics,34,1,Monday,166,10,4,ma-g4-mathematics-u10-l04
ma-g4-mathematics,34,2,Tuesday,167,10,5,ma-g4-mathematics-u10-l05
ma-g4-mathematics,34,3,Wednesday,168,10,6,ma-g4-mathematics-u10-l06
ma-g4-mathematics,34,4,Thursday,169,10,7,ma-g4-mathematics-u10-l07
ma-g4-mathematics,34,5,Friday,170,10,8,ma-g4-mathematics-u10-l08
ma-g4-mathematics,35,1,Monday,171,10,9,ma-g4-mathematics-u10-l09
ma-g4-mathematics,35,2,Tuesday,172,10,10,ma-g4-mathematics-u10-l10
ma-g4-mathematics,35,3,Wednesday,173,10,11,ma-g4-mathematics-u10-l11
ma-g4-mathematics,35,4,Thursday,174,10,12,ma-g4-mathematics-u10-l12
ma-g4-mathematics,35,5,Friday,175,10,13,ma-g4-mathematics-u10-l13
ma-g4-mathematics,36,1,Monday,176,10,14,ma-g4-mathematics-u10-l14
ma-g4-mathematics,36,2,Tuesday,177,10,15,ma-g4-mathematics-u10-l15
ma-g4-mathematics,36,3,Wednesday,178,10,16,ma-g4-mathematics-u10-l16
ma-g4-mathematics,36,4,Thursday,179,10,17,ma-g4-mathematics-u10-l17
ma-g4-mathematics,36,5,Friday,180,10,18,ma-g4-mathematics-u10-l18
