generator_family,lessons,courses,concept_model_lessons,worked_example_payloads,numeric_or_categorical_model_tables,physical_lab_routes,document_inquiry_routes,graph_requests,engineering_language_lessons,engineering_focus_lessons,learner_sheet_words_mean,safety_section_words_mean,analysis_section_words_mean
canonical-k8-elementary,108,1,18,0,0,0,18,1,26,6,2953.2,1027.7,255.0
canonical-k8-middle,216,2,36,0,0,0,36,3,72,16,2794.7,862.7,255.3
g34-k8-elementary,216,2,36,0,0,0,36,3,72,20,2938.1,1007.7,255.8
h4-high-school,432,4,72,0,72,72,0,24,108,18,2838.8,734.3,274.8
