course_id,lessons,courses,concept_model_lessons,worked_example_payloads,numeric_or_categorical_model_tables,physical_lab_routes,document_inquiry_routes,graph_requests,engineering_language_lessons,engineering_focus_lessons,learner_sheet_words_mean,safety_section_words_mean,analysis_section_words_mean
ma-g3-science,108,1,18,0,0,0,18,3,24,8,2944.4,1007.7,258.0
ma-g4-science,108,1,18,0,0,0,18,0,48,12,2931.8,1007.7,253.6
ma-g5-science,108,1,18,0,0,0,18,1,26,6,2953.2,1027.7,255.0
ma-g7-science,108,1,18,0,0,0,18,0,36,8,2790.5,862.7,255.7
ma-g8-science,108,1,18,0,0,0,18,3,36,8,2798.9,862.7,254.9
ma-hs10-chemistry,108,1,18,0,18,18,0,4,60,6,2895.5,753.7,275.3
ma-hs11-physics,108,1,18,0,18,18,0,6,24,4,2822.7,730.0,273.3
ma-hs12-earth-space-environmental,108,1,18,0,18,18,0,6,12,6,2818.9,719.1,276.9
ma-hs9-biology,108,1,18,0,18,18,0,8,12,2,2818.0,734.4,273.6
